date,temperature_c,humidity_pct,wind_speed_ms,solar_radiation_kwh_m2_day,rainfall_mm,cloud_cover_pct,site_name,latitude,longitude,data_source,load_timestamp
2021-09-02,29.15,80.22,2.41,3.5578,19.54,93.49,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-09-03,30.89,69.59,2.2,4.1647,3.21,65.25,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-09-04,30.27,71.09,4.19,3.8484,2.43,67.26,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-09-05,30.03,73.01,4.4,3.684,3.09,65.0,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-09-06,30.54,71.15,2.93,4.909,2.08,77.14,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-09-07,30.35,71.92,3.02,5.5027,0.19,78.07,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-09-08,29.41,80.53,3.0,4.813,9.55,97.01,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-09-09,29.19,80.81,3.88,3.1406,3.64,99.35,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-09-10,27.9,85.31,4.93,3.8717,15.03,88.81,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-09-11,29.11,80.2,4.02,3.3492,6.1,93.73,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-09-12,30.36,75.41,4.4,4.505,12.68,86.44,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-09-13,30.92,74.35,4.02,4.4191,6.61,92.47,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-09-14,29.79,78.12,2.53,4.5665,10.74,84.98,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-09-15,29.72,80.43,2.94,5.527,6.26,72.51,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-09-16,30.28,74.7,3.04,5.8241,0.27,28.79,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-09-17,30.73,71.01,3.59,6.1481,0.08,37.76,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-09-18,30.5,72.08,3.75,4.8367,0.88,83.82,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-09-19,29.78,75.98,3.49,5.1564,7.94,74.21,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-09-20,29.69,78.22,4.97,5.502,8.26,47.16,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-09-21,29.88,74.78,5.84,5.2306,2.83,52.31,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-09-22,29.78,74.42,4.69,4.2878,1.72,58.59,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-09-23,29.67,76.04,3.93,3.1589,12.32,84.45,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-09-24,29.45,79.41,1.67,4.3022,19.47,81.24,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-09-25,29.43,76.96,1.92,4.9402,3.85,65.7,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-09-26,29.84,72.74,2.0,5.6347,0.33,52.57,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-09-27,30.02,75.34,3.21,4.9476,19.58,80.1,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-09-28,29.72,80.41,2.45,4.7762,48.16,61.55,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-09-29,29.28,80.18,3.8,4.6075,9.09,89.91,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-09-30,27.48,91.61,6.24,1.7083,24.51,99.23,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-10-01,28.43,79.43,4.07,5.6357,0.1,48.94,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-10-02,28.41,77.29,3.08,5.9434,0.0,24.91,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-10-03,28.25,80.16,3.87,5.873,0.01,15.21,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-10-04,28.12,79.81,4.76,5.9186,0.03,7.2,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-10-05,27.94,76.15,3.64,6.0084,0.0,10.86,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-10-06,28.61,71.22,2.55,5.9537,0.0,31.48,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-10-07,29.93,67.09,1.98,5.5793,0.0,50.28,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-10-08,30.01,69.09,2.73,5.4636,0.0,60.77,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-10-09,28.98,74.79,3.76,5.2632,0.59,41.41,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-10-10,27.85,76.51,3.56,5.6086,0.71,8.71,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-10-11,27.29,74.14,3.36,5.7641,0.0,4.7,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-10-12,27.87,66.28,2.1,5.7271,0.0,7.31,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-10-13,28.55,60.42,2.72,5.8186,0.0,3.95,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-10-14,27.75,41.78,2.64,5.935,0.0,5.6,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-10-15,26.57,38.76,2.56,5.8318,0.0,9.0,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-10-16,25.75,48.48,2.58,5.8318,0.0,4.68,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-10-17,25.92,49.45,3.52,5.6851,0.0,6.48,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-10-18,24.77,59.31,4.22,5.8526,0.0,4.8,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-10-19,25.44,69.28,3.43,5.7101,0.0,7.27,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-10-20,25.72,70.54,3.7,5.6635,0.0,14.72,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-10-21,25.2,72.14,3.97,5.7072,0.0,11.98,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-10-22,24.84,72.7,4.82,5.4862,0.0,14.66,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-10-23,26.16,74.47,5.1,4.7885,0.0,19.53,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-10-24,26.06,71.6,3.35,4.7194,0.0,10.29,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-10-25,25.79,59.08,1.67,4.884,0.0,12.15,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-10-26,26.44,53.24,1.96,5.1391,0.0,3.4,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-10-27,25.94,46.12,2.37,5.0962,0.0,3.42,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-10-28,26.12,45.0,2.09,5.1703,0.0,3.87,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-10-29,26.36,39.84,2.26,5.1727,0.0,12.1,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-10-30,25.39,39.69,2.68,5.4396,0.0,6.91,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-10-31,25.42,38.97,1.58,5.3532,0.0,6.27,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-11-01,24.32,58.99,2.87,5.3467,0.0,4.92,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-11-02,25.2,59.4,1.95,5.1125,0.0,5.95,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-11-03,25.52,44.33,2.27,4.8816,0.0,3.49,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-11-04,24.8,45.15,2.21,4.7825,0.0,6.58,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-11-05,25.45,39.34,1.78,4.4225,0.0,53.84,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-11-06,25.92,36.74,1.59,4.3361,0.0,51.48,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-11-07,25.45,38.4,1.77,4.6466,0.0,23.82,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-11-08,25.31,47.15,2.43,4.7714,0.0,35.61,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-11-09,25.89,44.13,1.78,4.7558,0.0,14.99,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-11-10,25.81,39.26,1.41,4.6783,0.0,14.13,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-11-11,25.5,35.99,2.02,4.7285,0.0,4.89,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-11-12,24.05,38.54,2.58,4.794,0.0,9.28,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-11-13,23.63,38.5,2.54,4.5965,0.0,10.07,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-11-14,23.92,35.22,1.9,4.2382,0.0,9.09,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-11-15,22.41,35.58,2.64,4.1143,0.0,14.06,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-11-16,21.24,44.35,3.31,4.1683,0.0,8.76,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-11-17,20.76,46.86,3.18,3.6991,0.0,41.61,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-11-18,23.04,46.42,2.4,2.4336,0.07,76.06,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-11-19,22.89,69.5,2.26,1.9675,5.9,80.82,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-11-20,23.41,59.49,2.82,3.3031,8.53,64.62,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-11-21,25.23,61.61,3.27,3.9502,0.0,17.63,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-11-22,24.0,49.09,3.59,4.3646,0.0,8.73,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-11-23,22.66,39.41,2.47,4.5314,0.0,9.43,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-11-24,22.36,61.09,2.35,4.7666,0.0,9.28,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-11-25,23.25,64.6,2.3,4.559,0.0,14.68,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-11-26,23.91,58.21,2.01,4.7225,0.0,9.93,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-11-27,24.01,54.2,1.98,4.4671,0.0,18.63,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-11-28,23.28,51.89,2.34,4.3586,0.0,8.03,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-11-29,24.07,51.32,2.42,3.8532,0.0,44.0,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-11-30,22.87,57.49,3.12,3.8827,0.0,47.58,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-12-01,20.66,69.99,2.66,1.7662,0.02,86.58,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-12-02,20.99,76.25,2.43,3.6317,0.01,19.74,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-12-03,21.28,67.01,2.43,4.3217,0.0,4.28,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-12-04,22.07,55.22,1.82,4.2492,0.0,7.93,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-12-05,21.46,46.98,3.01,4.0001,0.0,8.99,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-12-06,20.28,41.06,3.51,4.2233,0.0,17.05,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-12-07,20.07,50.64,3.27,3.7718,0.0,21.3,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-12-08,20.44,48.61,2.8,3.8815,0.0,8.61,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-12-09,19.2,41.97,3.44,4.2374,0.0,9.83,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-12-10,18.98,41.18,3.77,4.3171,0.0,24.44,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-12-11,18.72,34.43,2.99,4.3366,0.0,26.81,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-12-12,18.51,34.03,2.28,4.159,0.0,39.87,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-12-13,18.6,31.38,2.79,4.0802,0.0,34.36,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-12-14,17.25,36.48,4.24,4.3373,0.0,28.67,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-12-15,16.65,31.09,3.62,4.4407,0.0,28.34,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
2021-12-16,15.94,28.01,3.89,4.3109,0.0,29.32,Khavda Renewable Energy Park,23.9,69.75,NASA_POWER,2026-06-22 15:19:25.133695
