date,site_name,solar_generation_mw,wind_generation_mw,total_generation_mw,renewable_energy_mwh,co2_avoided_kg,coal_saved_kg,trees_equivalent,co2_avoided_tons,coal_saved_tons,trees_equivalent_million
2021-07-14,Khavda Renewable Energy Park,93.3245588280544,3.036534945130316,96.3610937731847,96.36,79016.1,48180.55,3591.64,79.02,48.18,0.0
2021-07-15,Khavda Renewable Energy Park,79.93045711496559,0.0,79.93045711496559,79.93,65542.97,39965.23,2979.23,65.54,39.97,0.0
2021-07-16,Khavda Renewable Energy Park,87.39411727823038,0.0265481481481481,87.42066542637853,87.42,71684.95,43710.33,3258.41,71.68,43.71,0.0
2021-07-17,Khavda Renewable Energy Park,81.728924681712,4.938126474622771,86.66705115633478,86.67,71066.98,43333.53,3230.32,71.07,43.33,0.0
2021-07-18,Khavda Renewable Energy Park,70.5666201842624,17.785185185185185,88.35180536944759,88.35,72448.48,44175.9,3293.11,72.45,44.18,0.0
2021-07-19,Khavda Renewable Energy Park,41.61878885384441,45.6366812414266,87.25547009527101,87.26,71549.49,43627.74,3252.25,71.55,43.63,0.0
2021-07-20,Khavda Renewable Energy Park,36.006696569305,81.28470888203019,117.29140545133518,117.29,96178.95,58645.7,4371.77,96.18,58.65,0.0
2021-07-21,Khavda Renewable Energy Park,79.6628179826006,73.50048587105624,153.16330385365683,153.16,125593.91,76581.65,5708.81,125.59,76.58,0.01
2021-07-22,Khavda Renewable Energy Park,59.2242172222624,12.86277198216735,72.08698920442976,72.09,59111.33,36043.49,2686.88,59.11,36.04,0.0
2021-07-23,Khavda Renewable Energy Park,66.56538457613661,5.97666721536351,72.54205179150011,72.54,59484.48,36271.03,2703.84,59.48,36.27,0.0
2021-07-24,Khavda Renewable Energy Park,25.55096617656,5.915473148148149,31.466439324708148,31.47,25802.48,15733.22,1172.84,25.8,15.73,0.0
2021-07-25,Khavda Renewable Energy Park,54.11618947144081,12.9654,67.08158947144081,67.08,55006.9,33540.79,2500.31,55.01,33.54,0.0
2021-07-26,Khavda Renewable Energy Park,37.828869726824,47.56814159807956,85.39701132490356,85.4,70025.55,42698.51,3182.98,70.03,42.7,0.0
2021-07-27,Khavda Renewable Energy Park,32.805635483852,57.76724746227712,90.57288294612913,90.57,74269.76,45286.44,3375.9,74.27,45.29,0.0
2021-07-28,Khavda Renewable Energy Park,24.302144823,78.17643017832648,102.47857500132648,102.48,84032.43,51239.29,3819.66,84.03,51.24,0.0
2021-07-29,Khavda Renewable Energy Park,31.005736364680004,91.47965963648834,122.48539600116834,122.49,100438.02,61242.7,4565.36,100.44,61.24,0.0
2021-07-30,Khavda Renewable Energy Park,54.8533726743684,64.116251303155,118.96962397752338,118.97,97555.09,59484.81,4434.32,97.56,59.48,0.0
2021-07-31,Khavda Renewable Energy Park,48.717019531488,77.49663895747597,126.21365848896396,126.21,103495.2,63106.83,4704.33,103.5,63.11,0.0
2021-08-01,Khavda Renewable Energy Park,40.5936070406328,66.84209667352536,107.43570371415817,107.44,88097.28,53717.85,4004.42,88.1,53.72,0.0
2021-08-02,Khavda Renewable Energy Park,33.335999833197604,33.948742352537735,67.28474218573534,67.28,55173.49,33642.37,2507.89,55.17,33.64,0.0
2021-08-03,Khavda Renewable Energy Park,44.42501005731361,18.95319351851852,63.37820357583213,63.38,51970.13,31689.1,2362.28,51.97,31.69,0.0
2021-08-04,Khavda Renewable Energy Park,59.265592828428815,14.349632956104251,73.61522578453307,73.62,60364.49,36807.61,2743.84,60.36,36.81,0.0
2021-08-05,Khavda Renewable Energy Park,99.6085636061824,6.61197722908093,106.22054083526334,106.22,87100.84,53110.27,3959.13,87.1,53.11,0.0
2021-08-06,Khavda Renewable Energy Park,65.39426746424002,3.4872252400548707,68.88149270429489,68.88,56482.82,34440.75,2567.4,56.48,34.44,0.0
2021-08-07,Khavda Renewable Energy Park,92.49740032262402,2.287273525377229,94.78467384800123,94.78,77723.43,47392.34,3532.88,77.72,47.39,0.0
2021-08-08,Khavda Renewable Energy Park,106.50566090164,2.3197935185185186,108.82545442015854,108.83,89236.87,54412.73,4056.22,89.24,54.41,0.0
2021-08-09,Khavda Renewable Energy Park,81.10269578549602,3.7508573388203024,84.85355312431632,84.85,69579.91,42426.78,3162.72,69.58,42.43,0.0
2021-08-10,Khavda Renewable Energy Park,100.48288155358198,5.734400000000001,106.21728155358198,106.22,87098.17,53108.64,3959.01,87.1,53.11,0.0
2021-08-11,Khavda Renewable Energy Park,77.20851225463637,11.577496844993137,88.78600909962951,88.79,72804.53,44393.0,3309.3,72.8,44.39,0.0
2021-08-12,Khavda Renewable Energy Park,66.91684103387801,7.940093518518519,74.85693455239654,74.86,61382.69,37428.47,2790.12,61.38,37.43,0.0
2021-08-13,Khavda Renewable Energy Park,83.60436007,7.290785185185185,90.89514525518518,90.9,74534.02,45447.57,3387.91,74.53,45.45,0.0
2021-08-14,Khavda Renewable Energy Park,109.8152818956336,18.55834814814815,128.37363004378173,128.37,105266.38,64186.82,4784.84,105.27,64.19,0.0
2021-08-15,Khavda Renewable Energy Park,124.4759301956236,10.830799451303148,135.30672964692675,135.31,110951.52,67653.36,5043.25,110.95,67.65,0.01
2021-08-16,Khavda Renewable Energy Park,104.3285136044536,1.3087253772290806,105.63723898168269,105.64,86622.54,52818.62,3937.39,86.62,52.82,0.0
2021-08-17,Khavda Renewable Energy Park,123.832902111776,1.2865440672153634,125.11944617899135,125.12,102597.95,62559.72,4663.54,102.6,62.56,0.0
2021-08-18,Khavda Renewable Energy Park,117.03457370721598,5.102110116598076,122.13668382381404,122.14,100152.08,61068.34,4552.37,100.15,61.07,0.0
2021-08-19,Khavda Renewable Energy Park,132.32483995885437,9.269592043895743,141.59443200275012,141.59,116107.43,70797.22,5277.61,116.11,70.8,0.01
2021-08-20,Khavda Renewable Energy Park,127.41264585160762,5.557060185185184,132.9697060367928,132.97,109035.16,66484.85,4956.14,109.04,66.48,0.0
2021-08-21,Khavda Renewable Energy Park,72.64040207986322,2.3197935185185186,74.96019559838174,74.96,61467.36,37480.1,2793.97,61.47,37.48,0.0
2021-08-22,Khavda Renewable Energy Park,52.59223763151601,2.129225000000001,54.721462631516005,54.72,44871.6,27360.73,2039.62,44.87,27.36,0.0
2021-08-23,Khavda Renewable Energy Park,114.55090457136924,5.047051851851851,119.59795642322108,119.6,98070.32,59798.98,4457.74,98.07,59.8,0.0
2021-08-24,Khavda Renewable Energy Park,107.09116704487958,14.68247215363512,121.7736391985147,121.77,99854.38,60886.82,4538.84,99.85,60.89,0.0
2021-08-25,Khavda Renewable Energy Park,76.64760734030402,28.24221536351167,104.8898227038157,104.89,86009.65,52444.91,3909.53,86.01,52.44,0.0
2021-08-26,Khavda Renewable Energy Park,67.63820152047201,29.292440054869683,96.9306415753417,96.93,79483.13,48465.32,3612.87,79.48,48.47,0.0
2021-08-27,Khavda Renewable Energy Park,97.8588248301268,11.293592832647466,109.15241766277428,109.15,89504.98,54576.21,4068.41,89.5,54.58,0.0
2021-08-28,Khavda Renewable Energy Park,114.34027034304158,2.3197935185185186,116.6600638615601,116.66,95661.25,58330.03,4348.24,95.66,58.33,0.0
2021-08-29,Khavda Renewable Energy Park,94.699226401989,0.8597750000000005,95.559001401989,95.56,78358.38,47779.5,3561.74,78.36,47.78,0.0
2021-08-30,Khavda Renewable Energy Park,64.93910307623199,0.0,64.93910307623199,64.94,53250.06,32469.55,2420.46,53.25,32.47,0.0
2021-08-31,Khavda Renewable Energy Park,56.0454170001,0.1323585733882029,56.177775573488205,56.18,46065.78,28088.89,2093.9,46.07,28.09,0.0
2021-09-01,Khavda Renewable Energy Park,40.9604419127376,0.0177851851851851,40.97822709792278,40.98,33602.15,20489.11,1527.37,33.6,20.49,0.0
2021-09-02,Khavda Renewable Energy Park,42.244317849558,0.0,42.244317849558,42.24,34640.34,21122.16,1574.56,34.64,21.12,0.0
2021-09-03,Khavda Renewable Energy Park,68.04912751939499,0.0,68.04912751939499,68.05,55800.28,34024.56,2536.38,55.8,34.02,0.0
2021-09-04,Khavda Renewable Energy Park,61.7912332182288,0.4045306241426615,62.195763842371456,62.2,51000.53,31097.88,2318.21,51.0,31.1,0.0
2021-09-05,Khavda Renewable Energy Park,60.555702108,0.6587105624142665,61.21441267041426,61.21,50195.82,30607.21,2281.63,50.2,30.61,0.0
2021-09-06,Khavda Renewable Energy Park,70.90831900266402,0.0,70.90831900266402,70.91,58144.82,35454.16,2642.95,58.14,35.45,0.0
2021-09-07,Khavda Renewable Energy Park,78.71950859595901,1.920438957476e-06,78.71951051639797,78.72,64550.0,39359.76,2934.09,64.55,39.36,0.0
2021-09-08,Khavda Renewable Energy Park,54.341692963778,0.0,54.341692963778,54.34,44560.19,27170.85,2025.46,44.56,27.17,0.0
2021-09-09,Khavda Renewable Energy Park,34.298783074094004,0.163590672153635,34.46237374624764,34.46,28259.15,17231.19,1284.51,28.26,17.23,0.0
2021-09-10,Khavda Renewable Energy Park,49.16026162077801,1.7257681412894366,50.88602976206744,50.89,41726.54,25443.01,1896.66,41.73,25.44,0.0
2021-09-11,Khavda Renewable Energy Park,39.643482331701605,0.2547481481481478,39.89823047984975,39.9,32716.55,19949.12,1487.12,32.72,19.95,0.0
2021-09-12,Khavda Renewable Energy Park,58.35592359872,0.6587105624142665,59.01463416113426,59.01,48392.0,29507.32,2199.64,48.39,29.51,0.0
2021-09-13,Khavda Renewable Energy Park,52.81950833137441,0.2547481481481478,53.07425647952255,53.07,43520.89,26537.13,1978.22,43.52,26.54,0.0
2021-09-14,Khavda Renewable Energy Park,60.369384682838,0.0,60.369384682838,60.37,49502.9,30184.69,2250.13,49.5,30.18,0.0
2021-09-15,Khavda Renewable Energy Park,84.245480731104,0.0,84.245480731104,84.25,69081.29,42122.74,3140.06,69.08,42.12,0.0
2021-09-16,Khavda Renewable Energy Park,129.6979160487472,1.5363511659808e-05,129.69793141225887,129.7,106352.3,64848.97,4834.2,106.35,64.85,0.0
2021-09-17,Khavda Renewable Energy Park,127.7704337317408,0.0493022290809327,127.81973596082176,127.82,104812.18,63909.87,4764.19,104.81,63.91,0.0
2021-09-18,Khavda Renewable Energy Park,64.66168075422001,0.1012731481481481,64.76295390236817,64.76,53105.62,32381.48,2413.89,53.11,32.38,0.0
2021-09-19,Khavda Renewable Energy Park,77.1586561695312,0.0282422153635116,77.1868983848947,77.19,63293.26,38593.45,2876.97,63.29,38.59,0.0
2021-09-20,Khavda Renewable Energy Park,106.456432210128,1.8353090192043888,108.2917412293324,108.29,88799.23,54145.87,4036.33,88.8,54.15,0.0
2021-09-21,Khavda Renewable Energy Park,96.7688724690688,5.498769821673524,102.26764229074232,102.27,83859.47,51133.82,3811.79,83.86,51.13,0.0
2021-09-22,Khavda Renewable Energy Park,75.0008672328696,1.1586990054869692,76.15956623835656,76.16,62450.84,38079.78,2838.67,62.45,38.08,0.0
2021-09-23,Khavda Renewable Energy Park,42.052356480430994,0.1930898148148148,42.245446295245806,42.25,34641.27,21122.72,1574.6,34.64,21.12,0.0
2021-09-24,Khavda Renewable Energy Park,59.56181598813601,0.0,59.56181598813601,59.56,48840.69,29780.91,2220.03,48.84,29.78,0.0
2021-09-25,Khavda Renewable Energy Park,80.842883539132,0.0,80.842883539132,80.84,66291.16,40421.44,3013.23,66.29,40.42,0.0
2021-09-26,Khavda Renewable Energy Park,104.0248991471976,0.0,104.0248991471976,104.02,85300.42,52012.45,3877.29,85.3,52.01,0.0
2021-09-27,Khavda Renewable Energy Park,69.25001018443201,0.0022231481481481,69.25223333258016,69.25,56786.83,34626.12,2581.22,56.79,34.63,0.0
2021-09-28,Khavda Renewable Energy Park,81.27559507267199,0.0,81.27559507267199,81.28,66645.99,40637.8,3029.36,66.65,40.64,0.0
2021-09-29,Khavda Renewable Energy Park,57.35428794106001,0.1229080932784635,57.47719603433847,57.48,47131.3,28738.6,2142.33,47.13,28.74,0.0
2021-09-30,Khavda Renewable Energy Park,18.8197767870112,8.164800000000003,26.9845767870112,26.98,22127.35,13492.29,1005.79,22.13,13.49,0.0
2021-10-01,Khavda Renewable Energy Park,107.9709406194804,0.2940775377229083,108.26501815720331,108.27,88777.31,54132.51,4035.33,88.78,54.13,0.0
2021-10-02,Khavda Renewable Energy Park,137.1190666915564,0.0001229080932784,137.1191895996497,137.12,112437.74,68559.59,5110.81,112.44,68.56,0.01
2021-10-03,Khavda Renewable Energy Park,144.86033731785,0.1580768518518519,145.01841416970186,145.02,118915.1,72509.21,5405.23,118.92,72.51,0.01
2021-10-04,Khavda Renewable Energy Park,153.78669026406396,1.3087253772290806,155.09541564129304,155.1,127178.24,77547.71,5780.83,127.18,77.55,0.01
2021-10-05,Khavda Renewable Energy Park,152.64804495504958,0.0629289437585734,152.71097389880816,152.71,125223.0,76355.49,5691.95,125.22,76.36,0.01
2021-10-06,Khavda Renewable Energy Park,130.8843799813176,0.0,130.8843799813176,130.88,107325.19,65442.19,4878.42,107.33,65.44,0.0
2021-10-07,Khavda Renewable Energy Park,105.03088636637524,0.0,105.03088636637524,105.03,86125.33,52515.44,3914.79,86.13,52.52,0.0
2021-10-08,Khavda Renewable Energy Park,93.5520868192152,0.0,93.5520868192152,93.55,76712.71,46776.04,3486.94,76.71,46.78,0.0
2021-10-09,Khavda Renewable Energy Park,107.04467628740164,0.1053783264746226,107.15005461387624,107.15,87863.04,53575.03,3993.77,87.86,53.58,0.0
2021-10-10,Khavda Renewable Energy Park,144.509692964186,0.042157475994513,144.55185044018052,144.55,118532.52,72275.93,5387.84,118.53,72.28,0.01
2021-10-11,Khavda Renewable Energy Park,152.63165940547802,0.0111999999999999,152.64285940547802,152.64,125167.14,76321.43,5689.42,125.17,76.32,0.01
2021-10-12,Khavda Renewable Energy Park,148.85876373931418,0.0,148.85876373931418,148.86,122064.19,74429.38,5548.37,122.06,74.43,0.01
2021-10-13,Khavda Renewable Energy Park,154.00091442021,0.0,154.00091442021,154.0,126280.75,77000.46,5740.03,126.28,77.0,0.01
2021-10-14,Khavda Renewable Energy Park,155.99354584000002,0.0,155.99354584000002,155.99,127914.71,77996.77,5814.3,127.91,78.0,0.01
2021-10-15,Khavda Renewable Energy Park,150.76151134044002,0.0,150.76151134044002,150.76,123624.44,75380.76,5619.29,123.62,75.38,0.01
2021-10-16,Khavda Renewable Energy Park,155.40357048788,0.0,155.40357048788,155.4,127430.93,77701.79,5792.32,127.43,77.7,0.01
2021-10-17,Khavda Renewable Energy Park,149.7087778728256,0.033753635116598,149.7425315079422,149.74,122788.88,74871.27,5581.31,122.79,74.87,0.01
2021-10-18,Khavda Renewable Energy Park,156.31124079999998,0.4359031550068585,156.74714395500683,156.75,128532.66,78373.57,5842.39,128.53,78.37,0.01
2021-10-19,Khavda Renewable Energy Park,149.9138859138008,0.0190860425240055,149.93297195632482,149.93,122945.04,74966.49,5588.41,122.95,74.97,0.01
2021-10-20,Khavda Renewable Energy Park,141.581807865344,0.0823388203017833,141.66414668564576,141.66,116164.6,70832.07,5280.21,116.16,70.83,0.01
2021-10-21,Khavda Renewable Energy Park,145.55004449779202,0.2190915980795612,145.76913609587157,145.77,119530.69,72884.57,5433.21,119.53,72.88,0.01
2021-10-22,Khavda Renewable Energy Park,137.59993082,1.4471871056241432,139.04711792562415,139.05,114018.64,69523.56,5182.67,114.02,69.52,0.01
2021-10-23,Khavda Renewable Energy Park,115.713634031468,2.2231481481481463,117.93678217961616,117.94,96708.16,58968.39,4395.83,96.71,58.97,0.0
2021-10-24,Khavda Renewable Energy Park,121.2543590831496,0.0102923525377229,121.26465143568733,121.26,99437.01,60632.33,4519.86,99.44,60.63,0.0
2021-10-25,Khavda Renewable Energy Park,124.12532158884,0.0,124.12532158884,124.13,101782.76,62062.66,4626.49,101.78,62.06,0.0
2021-10-26,Khavda Renewable Energy Park,137.64478774217602,0.0,137.64478774217602,137.64,112868.73,68822.39,5130.4,112.87,68.82,0.01
2021-10-27,Khavda Renewable Energy Park,136.7535802140816,0.0,136.7535802140816,136.75,112137.94,68376.79,5097.18,112.14,68.38,0.01
2021-10-28,Khavda Renewable Energy Park,138.2595646728912,0.0,138.2595646728912,138.26,113372.84,69129.78,5153.31,113.37,69.13,0.01
2021-10-29,Khavda Renewable Energy Park,131.20429901779198,0.0,131.20429901779198,131.2,107587.53,65602.15,4890.34,107.59,65.6,0.0
2021-10-30,Khavda Renewable Energy Park,143.1633562775064,0.0,143.1633562775064,143.16,117393.95,71581.68,5336.09,117.39,71.58,0.01
2021-10-31,Khavda Renewable Energy Park,141.4368331971408,0.0,141.4368331971408,141.44,115978.2,70718.42,5271.74,115.98,70.72,0.01
2021-11-01,Khavda Renewable Energy Park,142.69379894,0.0,142.69379894,142.69,117008.92,71346.9,5318.59,117.01,71.35,0.01
2021-11-02,Khavda Renewable Energy Park,135.4660934825,0.0,135.4660934825,135.47,111082.2,67733.05,5049.19,111.08,67.73,0.01
2021-11-03,Khavda Renewable Energy Park,131.1595501442688,0.0,131.1595501442688,131.16,107550.83,65579.78,4888.67,107.55,65.58,0.0
2021-11-04,Khavda Renewable Energy Park,126.32638975000002,0.0,126.32638975000002,126.33,103587.64,63163.19,4708.53,103.59,63.16,0.0
2021-11-05,Khavda Renewable Energy Park,82.1828331478,0.0,82.1828331478,82.18,67389.92,41091.42,3063.18,67.39,41.09,0.0
2021-11-06,Khavda Renewable Energy Park,82.10777671828163,0.0,82.10777671828163,82.11,67328.38,41053.89,3060.38,67.33,41.05,0.0
2021-11-07,Khavda Renewable Energy Park,109.32183387756402,0.0,109.32183387756402,109.32,89643.9,54660.92,4074.72,89.64,54.66,0.0
2021-11-08,Khavda Renewable Energy Park,103.0504823447484,0.0,103.0504823447484,103.05,84501.4,51525.24,3840.97,84.5,51.53,0.0
2021-11-09,Khavda Renewable Energy Park,118.5980246682308,0.0,118.5980246682308,118.6,97250.38,59299.01,4420.47,97.25,59.3,0.0
2021-11-10,Khavda Renewable Energy Park,117.3645303360134,0.0,117.3645303360134,117.36,96238.91,58682.27,4374.5,96.24,58.68,0.0
2021-11-11,Khavda Renewable Energy Park,125.96612265545,0.0,125.96612265545,125.97,103292.22,62983.06,4695.1,103.29,62.98,0.0
2021-11-12,Khavda Renewable Energy Park,124.49442720000002,0.0,124.49442720000002,124.49,102085.43,62247.21,4640.25,102.09,62.25,0.0
2021-11-13,Khavda Renewable Energy Park,118.766435425,0.0,118.766435425,118.77,97388.48,59383.22,4426.75,97.39,59.38,0.0
2021-11-14,Khavda Renewable Energy Park,110.19383573,0.0,110.19383573,110.19,90358.95,55096.92,4107.22,90.36,55.1,0.0
2021-11-15,Khavda Renewable Energy Park,103.59848543,0.0,103.59848543,103.6,84950.76,51799.24,3861.4,84.95,51.8,0.0
2021-11-16,Khavda Renewable Energy Park,108.60338918,0.0071514746227709,108.61054065462278,108.61,89060.64,54305.27,4048.21,89.06,54.31,0.0
2021-11-17,Khavda Renewable Energy Park,76.328524085,0.0014,76.329924085,76.33,62590.54,38164.96,2845.02,62.59,38.16,0.0
2021-11-18,Khavda Renewable Energy Park,36.382563360000006,0.0,36.382563360000006,36.38,29833.7,18191.28,1356.08,29.83,18.19,0.0
2021-11-19,Khavda Renewable Energy Park,27.869047250000005,0.0,27.869047250000005,27.87,22852.62,13934.52,1038.76,22.85,13.93,0.0
2021-11-20,Khavda Renewable Energy Park,55.616606870000005,0.0,55.616606870000005,55.62,45605.62,27808.3,2072.98,45.61,27.81,0.0
2021-11-21,Khavda Renewable Energy Park,97.05019730954682,0.004725,97.0549223095468,97.05,79585.04,48527.46,3617.5,79.59,48.53,0.0
2021-11-22,Khavda Renewable Energy Park,113.73951193000002,0.0493022290809327,113.78881415908096,113.79,93306.83,56894.41,4241.22,93.31,56.89,0.0
2021-11-23,Khavda Renewable Energy Park,117.56286817,0.0,117.56286817,117.56,96401.55,58781.43,4381.89,96.4,58.78,0.0
2021-11-24,Khavda Renewable Energy Park,123.78288208,0.0,123.78288208,123.78,101501.96,61891.44,4613.73,101.5,61.89,0.0
2021-11-25,Khavda Renewable Energy Park,114.32969020000002,0.0,114.32969020000002,114.33,93750.35,57164.85,4261.38,93.75,57.16,0.0
2021-11-26,Khavda Renewable Energy Park,122.131169875,0.0,122.131169875,122.13,100147.56,61065.58,4552.16,100.15,61.07,0.0
2021-11-27,Khavda Renewable Energy Park,109.113607955,0.0,109.113607955,109.11,89473.16,54556.8,4066.96,89.47,54.56,0.0
2021-11-28,Khavda Renewable Energy Park,114.08657293,0.0,114.08657293,114.09,93550.99,57043.29,4252.32,93.55,57.04,0.0
2021-11-29,Khavda Renewable Energy Park,77.98876800000001,0.0,77.98876800000001,77.99,63950.79,38994.38,2906.85,63.95,38.99,0.0
2021-11-30,Khavda Renewable Energy Park,76.29233711,0.0004148148148148,76.29275192481482,76.29,62560.06,38146.38,2843.64,62.56,38.15,0.0
2021-12-01,Khavda Renewable Energy Park,23.339096660000003,0.0,23.339096660000003,23.34,19138.06,11669.55,869.91,19.14,11.67,0.0
2021-12-02,Khavda Renewable Energy Park,88.04293992999999,0.0,88.04293992999999,88.04,72195.21,44021.47,3281.6,72.2,44.02,0.0
2021-12-03,Khavda Renewable Energy Park,115.79476546,0.0,115.79476546,115.79,94951.71,57897.38,4315.99,94.95,57.9,0.0
2021-12-04,Khavda Renewable Energy Park,111.29313426,0.0,111.29313426,111.29,91260.37,55646.57,4148.2,91.26,55.65,0.0
2021-12-05,Khavda Renewable Energy Park,104.069201665,2.40054869684484e-07,104.06920190505488,104.07,85336.75,52034.6,3878.94,85.34,52.03,0.0
2021-12-06,Khavda Renewable Energy Park,104.259551275,0.0318435185185184,104.29139479351852,104.29,85518.94,52145.7,3887.22,85.52,52.15,0.0
2021-12-07,Khavda Renewable Energy Park,90.4685089,0.004725,90.47323389999998,90.47,74188.05,45236.62,3372.18,74.19,45.24,0.0
2021-12-08,Khavda Renewable Energy Park,101.226997025,0.0,101.226997025,101.23,83006.14,50613.5,3773.01,83.01,50.61,0.0
2021-12-09,Khavda Renewable Energy Park,109.65564907,0.0204488340192043,109.6760979040192,109.68,89934.4,54838.05,4087.93,89.93,54.84,0.0
2021-12-10,Khavda Renewable Energy Park,101.31111254,0.1095929698216734,101.42070550982169,101.42,83164.98,50710.35,3780.23,83.16,50.71,0.0
2021-12-11,Khavda Renewable Energy Park,100.07289941,0.0,100.07289941,100.07,82059.78,50036.45,3729.99,82.06,50.04,0.0
2021-12-12,Khavda Renewable Energy Park,87.01231055000001,0.0,87.01231055000001,87.01,71350.09,43506.16,3243.19,71.35,43.51,0.0
2021-12-13,Khavda Renewable Energy Park,89.07321412,0.0,89.07321412,89.07,73040.04,44536.61,3320.0,73.04,44.54,0.0
2021-12-14,Khavda Renewable Energy Park,98.757935485,0.457694375857339,99.21562986085732,99.22,81356.82,49607.81,3698.04,81.36,49.61,0.0
2021-12-15,Khavda Renewable Energy Park,101.35409273,0.0572117969821673,101.41130452698218,101.41,83157.27,50705.65,3779.88,83.16,50.71,0.0
2021-12-16,Khavda Renewable Energy Park,97.69447798000002,0.1692312414266118,97.86370922142665,97.86,80248.24,48931.85,3647.65,80.25,48.93,0.0
2021-12-17,Khavda Renewable Energy Park,92.48979360500002,0.9113481481481474,93.40114175314817,93.4,76588.94,46700.57,3481.32,76.59,46.7,0.0
2021-12-18,Khavda Renewable Energy Park,94.02702056,0.2623144375857341,94.28933499758573,94.29,77317.25,47144.67,3514.42,77.32,47.14,0.0
2021-12-19,Khavda Renewable Energy Park,86.26707221000001,2.40054869684484e-07,86.26707245005488,86.27,70739.0,43133.54,3215.41,70.74,43.13,0.0
2021-12-20,Khavda Renewable Energy Park,84.09299315999999,0.0,84.09299315999999,84.09,68956.25,42046.5,3134.38,68.96,42.05,0.0
2021-12-21,Khavda Renewable Energy Park,93.51921601,0.0,93.51921601,93.52,76685.76,46759.61,3485.72,76.69,46.76,0.0
2021-12-22,Khavda Renewable Energy Park,100.97496222,1.920438957476e-06,100.97496414043896,100.97,82799.47,50487.48,3763.61,82.8,50.49,0.0
2021-12-23,Khavda Renewable Energy Park,91.49399831,0.0029207475994513,91.49691905759944,91.5,75027.47,45748.46,3410.34,75.03,45.75,0.0
2021-12-24,Khavda Renewable Energy Park,71.22547266999999,0.0,71.22547266999999,71.23,58404.89,35612.74,2654.77,58.4,35.61,0.0
2021-12-25,Khavda Renewable Energy Park,91.186914775,0.0,91.186914775,91.19,74773.27,45593.46,3398.79,74.77,45.59,0.0
